Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
126,God of War III,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,4.81,2.74,1.36,0.12,0.6,16th Mar 10
127,Pokémon Platinum Version,DS,Nintendo,Game Freak,8.3,7.72,2.76,1.73,2.69,0.54,22nd Mar 09
128,The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo EAD,9.9,7.6,4.1,1.89,1.45,0.16,23rd Nov 98
129,Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,8.5,7.53,2.84,3.34,0.14,1.22,04th Nov 14
130,Call of Duty: World at War,X360,Activision,Treyarch,8.5,7.5,4.88,1.91,,0.71,10th Nov 08
131,Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,,7.46,5.39,1.18,0.7,0.19,01st Oct 88
132,Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,9.7,7.57,3.59,2.37,0.98,0.62,23rd May 10
133,Super Smash Bros. Melee,GC,Nintendo,HAL Laboratory,9.2,7.07,4.41,1.04,1.39,0.22,02nd Dec 01
134,Call of Duty: Black Ops 3,XOne,Activision,Treyarch,,7.37,4.63,2.04,0.02,0.68,06th Nov 15
135,Battlefield 3,X360,Electronic Arts,Dice,8.5,7.35,4.47,2.12,0.06,0.69,25th Oct 11
136,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,,3.65,0.22,0.2,3.19,0.04,30th Sep 16
137,The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo EAD,9.5,7.18,3.74,2.16,0.6,0.69,19th Nov 06
138,Battlefield 1,PS4,Electronic Arts,EA DICE,9.1,7.26,2.2,3.65,0.29,1.12,21st Oct 16
139,Battlefield 3,PS3,Electronic Arts,Dice,8.5,7.21,2.86,2.94,0.35,1.07,25th Oct 11
140,Need for Speed Underground,PS2,Electronic Arts,EA Black Box,8.6,7.2,3.27,2.83,0.08,1.02,17th Nov 03
141,Pokémon Emerald Version,GBA,Nintendo,Game Freak,7.7,6.41,2.57,1.58,2.06,0.21,30th Apr 05
142,Guild Wars 2,PC,NCSoft,ArenaNet,,2.37,1.01,1.11,,0.25,28th Aug 12
143,Metal Gear Solid 2: Sons of Liberty,PS2,Konami,Konami Computer Entertainment Japan,9.5,6.05,2.45,2.01,0.87,0.72,12th Nov 01
144,Need for Speed Underground 2,PS2,Electronic Arts,EA Black Box,8.3,6.9,2.71,3.02,0.08,1.09,15th Nov 04
145,Just Dance 4,Wii,Ubisoft,Ubisoft,,6.89,4.05,2.21,,0.62,09th Oct 12
146,Mario Kart: Double Dash!!,GC,Nintendo,Nintendo EAD,8.5,6.95,4.12,1.77,0.87,0.19,17th Nov 03
147,Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,2.75,0.17,0.99,28th May 02
148,Crash Bandicoot,PS,Sony Computer Entertainment,Naughty Dog,7.8,6.82,3.23,2.35,0.94,0.3,01st Sep 96
