Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Date
156,"Donkey Kong Country Returns",Wii,Nintendo,"Retro Studios",8.6,6.500,3.190,1.810,1.030,0.470,2010-11-21
157,"The Legend of Zelda",NES,Nintendo,"Nintendo EAD",9.0,6.510,3.740,0.930,1.690,0.140,1987-08-22
158,"Assassin's Creed III",PS3,Ubisoft,"Ubisoft Montreal",8.8,6.500,2.650,2.610,0.160,1.080,2012-10-30
159,"Red Dead Redemption",X360,"Rockstar Games","Rockstar San Diego",9.5,6.500,3.770,2.030,0.090,0.600,2010-05-18
160,"The Elder Scrolls V: Skyrim",PS3,"Bethesda Softworks","Bethesda Game Studios",9.0,6.490,2.570,2.680,0.250,0.990,2011-11-11
161,"Final Fantasy XII",PS2,"Square Enix","Square Enix",9.4,5.950,1.880,0.000,2.330,1.740,2006-10-31
162,"Pokémon Crystal Version",GBC,Nintendo,"Game Freak",8.7,6.390,2.550,1.560,1.290,0.990,2001-07-29
163,Minecraft,PS4,"Sony Computer Entertainment",Mojang,9.4,6.330,1.890,3.130,0.350,0.960,2014-10-07
164,"Luigi's Mansion: Dark Moon",3DS,Nintendo,"Next Level Games",8.6,5.440,2.030,1.880,1.170,0.360,2013-03-24
165,"FIFA 15",PS4,"EA Sports","EA Canada",8.1,6.320,0.830,4.490,0.050,0.940,2014-09-23
166,"Kingdom Hearts",PS2,"Square EA",SquareSoft,8.5,6.400,3.640,1.200,1.490,0.070,2002-09-16
167,Myst,PC,Broderbund,"Cyan Worlds",8.9,2.810,0.020,2.790,0.000,0.000,1995-01-01
168,"Street Fighter II: The World Warrior",SNES,Capcom,Capcom,0.0,6.300,2.470,0.830,2.870,0.120,1992-07-01
169,Driver,PS,"GT Interactive","Reflections Interactive",8.5,6.270,3.110,2.800,0.020,0.330,1999-06-30
170,"Call of Duty: WWII",XOne,Activision,"Sledgehammer Games",0.0,6.230,3.750,1.910,0.000,0.570,2017-11-03
171,"The Legend of Zelda: Ocarina of Time 3D",3DS,Nintendo,GREZZO,9.3,2.000,1.420,0.010,0.560,0.000,2011-06-19
172,"Big Brain Academy",DS,Nintendo,"Nintendo EAD",7.7,6.630,1.660,2.750,1.600,0.620,2006-06-05
173,Minecraft,PS3,"Sony Computer Entertainment America",Mojang,0.0,6.050,2.210,2.860,0.000,0.990,2014-05-16
